result_id,metric,population,provenance,value,source_artifact,source_sha256,value_path
phase5_fixed256_ndcg10,nDCG@10,Phase 5 fixed-256-v1 retrieval evaluation,tracked Phase 5 chunking metrics,0.6394436819923248,data/evaluation/phase5_chunking_metrics.json,c2285894c4e036a9e9d2dc92bd07033b56ea06ca1f479e478182818a88ccf00a,"[""retrieval_metrics"",""fixed-256-v1"",""ndcg_at_10""]"
phase5_structure_ndcg10,nDCG@10,Phase 5 legal-structure-v1 retrieval evaluation,tracked Phase 5 chunking metrics,0.683666296657345,data/evaluation/phase5_chunking_metrics.json,c2285894c4e036a9e9d2dc92bd07033b56ea06ca1f479e478182818a88ccf00a,"[""retrieval_metrics"",""legal-structure-v1"",""ndcg_at_10""]"
phase15_arabic_vs_bge_recall10_delta,Recall@10 delta,Phase 15 Arabic retrieval comparison,tracked Phase 15 embedding metrics,0.04609929078014184,data/evaluation/phase15_embedding_metrics.json,6400b8fd8ac59b1b049752dfc06e563c648071fafc4669ab52be484ef8ea610a,"[""arabic_retrieval"",""paired_model_comparisons"",""arabic-retrieval-raw_vs_bge_m3_raw"",""Recall@10"",""delta""]"
phase15_reranker_recall10_delta,Recall@10 delta,Phase 15 reranker evaluation,tracked Phase 15 reranking metrics,0.043478260869565216,data/evaluation/phase15_reranking_metrics.json,5571d9e513927a57e1869ac6b9f64b09d48bc82d8aab2357aa62fff12ffc7a9a,"[""metrics"",""Recall@10"",""delta""]"
phase15_citation_defect_reduction,absolute risk reduction,Phase 15 citation verification counterfactual,tracked Phase 15 citation counterfactual,0.725,data/evaluation/phase15_citation_counterfactual.json,c55f53dd86c62153a8ea18d09ad7b1510a35940b09f9837373ed133fca410790,"[""absolute_risk_reduction""]"
phase15_fallback_invalid_generation_rate,invalid generation rate,Phase 15 fallback generator evaluation,tracked Phase 15 generator metrics,1.0,data/evaluation/phase15_generator_metrics.json,4cef2de020a28b89924f8fde370fe3fad0294748649f0187d7ff8efbf39e6f52,"[""metrics"",""invalid_generation_rate"",""value""]"
